id,date,tempreture,aqi,percentage_of_sick_students,preventable_percentage,location_lat,location_long,heat_wave,monsoon,flu/cold,fever,humidity,sunrise,sunset,preventable_percentage_z,location_cluster,heat_wave_bc,monsoon_sqrt
1,231,39,4.330733340286331,42,76,55.8174294,37.3727638,48,2,51,45,45,6,19,-0.32916322457934594,1,19.5861046085103,1.4142135623730951
2,309,43,4.174387269895637,12,75,25.84122,116.023145,28,8,54,60,50,6,19,-0.41182601327330526,0,13.226807977745981,2.8284271247461903
3,113,46,3.912023005428146,38,89,34.1926332,131.9199103,17,3,53,41,39,6,19,0.7454530284421251,0,9.129357331720756,1.7320508075688772
4,307,50,4.3694478524670215,16,68,38.914003,121.614682,32,5,56,54,41,6,19,-0.9904655341310205,0,14.587820879675423,2.23606797749979
5,242,39,3.7376696182833684,49,78,40.995233,122.064832,46,1,55,21,53,6,19,-0.1638376471914273,0,18.993050770330633,1.0
6,76,40,4.382026634673881,18,65,6.72556,124.06889,28,8,69,22,54,6,19,-1.2384539002128985,0,13.226807977745981,2.8284271247461903
7,83,41,4.189654742026425,41,64,-7.6371755,112.9386472,47,9,64,54,43,6,19,-1.3211166889068577,0,19.290547729108717,3.0
8,52,41,4.356708826689592,6,98,61.609528,90.129524,48,7,61,28,37,6,19,1.489418126687759,0,19.5861046085103,2.6457513110645907
9,27,50,3.8501476017100584,47,94,15.4581332,36.4039629,41,6,48,30,60,6,19,1.1587669719119218,1,17.47445913060683,2.449489742783178
10,220,32,3.7376696182833684,22,65,-7.6090348,110.6422198,34,3,69,61,54,6,19,-1.2384539002128985,0,15.248721030788754,1.7320508075688772
11,42,42,4.543294782270004,13,80,-12.1349328,44.4252603,0,9,63,49,31,6,19,0.001487930196491324,1,0.0,3.0
12,296,43,4.248495242049359,39,88,46.75,103.51667,8,2,64,54,49,6,19,0.6627902397481659,0,5.123025951137185,1.4142135623730951
13,225,38,3.8066624897703196,16,67,-9.3988444,-40.4996855,0,5,62,38,48,6,19,-1.0731283228249797,2,0.0,2.23606797749979
14,260,34,3.7612001156935624,11,79,41.4037275,-7.8500816,21,6,59,40,54,6,19,-0.08117485849746799,1,10.691807028772985,2.449489742783178
15,63,40,4.465908118654584,49,61,24.804232,98.296657,27,5,54,29,39,6,19,-1.5691050549887358,0,12.877543771174011,2.23606797749979
16,40,34,4.143134726391533,17,98,50.4848926,14.0286944,43,4,70,49,49,6,19,1.489418126687759,1,18.088361170277,2.0
17,298,41,3.4339872044851463,50,62,-0.6311749,100.1192169,37,2,59,36,33,6,19,-1.4864422662947763,0,16.21828270875482,1.4142135623730951
18,119,35,4.174387269895637,48,94,39.7451063,22.3615771,7,2,61,43,43,6,19,1.1587669719119218,1,4.612233677398492,1.4142135623730951
19,128,30,4.330733340286331,47,85,-7.2964746,108.7571263,34,3,40,37,50,6,19,0.4148018736662879,0,15.248721030788754,1.7320508075688772
20,229,33,3.9512437185814275,45,72,9.3554435,104.9856176,16,10,53,61,58,6,19,-0.6598143793551832,0,8.722275669951042,3.1622776601683795
21,225,31,4.605170185988092,16,78,-6.9736661,110.4180162,13,3,43,54,56,6,19,-0.1638376471914273,0,7.452841865452279,1.7320508075688772
